comment,sentiment
MRMR & wadom      ,neutral
.  .   بنين ستارز وديمه ومرمر  ,positive
" / mrmr      ,,; 🍓🌟",neutral
.  .   بنين ستارز وديمه ومرمر   🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪🤪,positive
.  .   بنين ستارز وديمه ومرمر   😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃,positive
MRMR  Wadomy    ,neutral
"Mrmr , Wabomy  . .  ‎      . 😍",positive
.  .   بنين ستارز وديمه ومرمر   😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,positive
.  .   بنين ستارز وديمه ومرمر   😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀,positive
.  .   بنين ستارز وديمه ومرمر   😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄,positive
 مــــرمــــر  وديمــــــه  ,neutral
ديمه / بنين ستارز / مرمر  ‏  ‏  ‏   ‏  💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,positive
"Mrmr , Wabomy  ‎   .a  . ❤️❤️",positive
 مــــرمــــر  وديمــــــه  ,neutral
Benin star   .n    ,neutral
 مــــرمــــر  وديمــــــه  ,neutral
وديمه احمد /بنين ستارز. /  مرمر      @ ,neutral
.  .   بنين ستارز وديمه ومرمر   😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇,positive
"Mrmr , Wabomy  ‎     . ✔️🤍",neutral
 مــــرمــــر  وديمــــــه  ,neutral
MRMR & wadom ‎‏‬⁩ ‎‏  ‎‏.mk  ‎‏,neutral
Benin star   .n    ,neutral
وديمه احمد /بنين ستارز. /  مرمر       🚥🚥🚥🚥🚥🚥,neutral
  .sarah ,neutral
.  .   بنين ستارز وديمه ومرمر  ,positive
وديمه احمد /بنين ستارز. /  مرمر     ,neutral
 مــــرمــــر  وديمــــــه  ,neutral
 مــــرمــــر  وديمــــــه  ,neutral
.  .   بنين ستارز وديمه ومرمر   🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾🌾,positive
وديمه احمد /بنين ستارز. /  مرمر       📀📀📀📀📀📀📀📀,neutral
  ,neutral
  ,neutral
  ,neutral
  ,neutral
  ,neutral
MRMR  Wadomy    ,neutral
ديمه /  مرمر      ,neutral
ديمه /  مرمر      ,neutral
MRMR  Wadomy   ديمه /  مرمر     ,neutral
ديمه / بنين ستارز / مرمر  ‏   .al .,neutral
وديمه احمد / مرمر 😍😍 ‏   .alrshidi ,positive
وديمه احمد / مرمر 😍😍 ‏  .alrshidi  ,positive
ديمه / بنين ستارز / مرمر  ‏   .f. .al,neutral
وديمه احمد / مرمر 😍😍 ‏     😍😍😍❤️😍❤️😍,positive
وديمه احمد / مرمر 😍😍 ‏     ❤️❤️🙌🙌,positive
وديمه احمد / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏     🌟🌟🌟,positive
وديمه احمد / مرمر      ,neutral
وديمه احمد / مرمر  ‏   ..sa ,neutral
وديمه احمد / مرمر  ‏    😍,positive
وديمه احمد / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏    ,neutral
ديمه / بنين ستارز / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏   ..sa ,positive
ديمه / بنين ستارز / مرمر  ‏    ..r,neutral
ديمه / بنين ستارز / مرمر  ‏  ..r .g ,neutral
ديمه / بنين ستارز / مرمر  ‏   .alrshidi ..r ❤️❤️❤️,neutral
ديمه / بنين ستارز / مرمر     ..sa ,neutral
ديمه / بنين ستارز / مرمر  ‏    ..sa ❤️❤️,positive
ديمه / بنين ستارز / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏    ,neutral
ديمه / بنين ستارز / مرمر  ‏    ,neutral
ديمه / بنين ستارز / مرمر  ‏     ❤️,positive
وديمه احمد / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏     ❤️,positive
ديمه / بنين ستارز / مرمر  ‏    ,neutral
ديمه / بنين ستارز / مرمر  ‏  ..r  .alrshidi,neutral
وديمه احمد / مرمر  ‏    ,neutral
ديمه / بنين ستارز / مرمر  ‏  ..r  ,neutral
ديمه / بنين ستارز / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏    ,neutral
وديمه احمد / مرمر  ‏  ..sa . ,neutral
وديمه احمد  مرمر   .oom ,neutral
MRMR  Wadomy       ,neutral
‏   🍓🍓🍓🍓 ‏  ديمة  مرمر💞💞💞,positive
‏        بنين ستار,neutral
‏  ‏  ‏  ‏ 💜💜 بنين ستار,neutral
ديمة بنين ستارز مرمر  ‏‎‏‎‏    ,neutral
ديمة بنين ستارز مرمر  ‏‎‏‎‏  ‏   🎀🎀,positive
      ‎ديمة بنين ستارز مرمر  ‎‏‎‏‎‏ 🛍️🛍️🛍️,positive
    🛍️🛍️🛍️🛒🎀🛍️🛍️🎀🎀🎀 ‎ديمة بنين ستارز مرمر  ‎‏‎‏‎‏,positive
      ‎ديمة بنين ستارز مرمر  ‎‏‎‏‎‏,positive
👏👏,positive
ملابس سنه ؟!,neutral
ليه ماتردون لما اتصل؟ عندي مشكله ولا اشوف اي استجابة!,negative
الفين وخشبة,neutral
ليه ماتردون ؟ عندي مشكله ولا اشوف اي استجابه !!   لماذا بعد ان ساعدني الأصدقاء بنجاح الهدايا المجانيه ولم احصل عليها,negative
Very cheap,negative
طالعه من كتاب التاريخ 😂,positive
بيخزيي,negative
Rory Gilmore style,neutral
لبس ,neutral
واو,positive
بلوك,neutral
تهبل,positive
Style ,neutral
Congratulations ,positive
No no no I don’t like it,negative
اهم حاجه نظهر البطن والصدر 😏👌,neutral
😍😍😍😍😍,positive
👏👏👏😍😍😍,positive
😍😍😍😍,positive
موديل الف و تسعمية و خشبة,neutral
بالبدايه حسبتها جنى بنت قمحه,neutral
تجنني,positive
طلبي كان ب ميه و سبعين جيت اتمم حطو الكوبون مع فلوسي الي ف المحفضه صار ميه و ثمنيه و ثلاثين 😒😒ليه عندي ف المحفضه ستين ريال و غير الكوبون صايرين نصابين شي ان او عندهم خطا تقني,negative
متابعة من فضلكم 👈,neutral
ملابس موديل قديم والشفايف اوفر بس الجسم ماشاء الله ولا غلطة,neutral
حاسة نفس موديلات بداية الالفينات ☻,neutral
جودة القماش سيئ,negative
البنت حلوة الملابس لاء,negative
😂😂😂😂 ملابس /,neutral
الي تحب الزين تشوف فساتيني 💕🛍,positive
مشكلني 😂,neutral
اطلالة مبتذلة جدا,negative
😍,positive
شكلو كل قديم بيرجع,negative
بتخزي,negative
لعابة 😍,positive
جميل❤️😍,positive
Cheap,negative
كانت موضة بداية الالفينات بس مش ذوقي الحق,neutral
شيماء علي في الامبراطوره,neutral
طلبت طلبية بمبلغ  و لما اجتني رسالة من البنك كان المبلغ أكبر /لماذا ؟ ما السبب ؟,negative
ايوة هاد موديل سنه ال,neutral
🔥🔥,positive
ملابس بداية الالفيه,neutral
امممم لبس عادي شنو الي يخليه قديم بنظر المتابعات ليش جيل الحين شنو يلبسون ؟,neutral
كم الأسعار,neutral
how much🔥,neutral
كم الكود حق الجينز,neutral
ليش تشيلون الخصم عند الدفع,negative
وهي بلوك عشان لا تضلي تطلعي بوجهي,negative
يازين الدلع اذا لاق على صاحبه,positive
❤️❤️❤️❤️,positive
لطيفة جدا ❤️❤️,positive
ياااااااي,positive
❤️❤️❤️❤️❤️,positive
Pretty dresses!😍,positive
❤️❤️,positive
❤️❤️🔥🔥🔥🔥,positive
❤️,positive
😍,positive
للامانه  شي أن  االاعلانات غير والواقع  شي مخزي  لاقماش ولاخامه ولاخياطه زين ً والاسعار مبالغين فيها  ماشفنا شي زين بالواقع زي للي نشوفه بالجوال,negative
ولا قطعه حلوه,negative
لازم نتكلم بهالطريقة الغريبة جدا؟,negative
RLYT,neutral
ولا واحد حلو,negative
ياجماعه.  هذولا يفتقدون للمصداقيه.  احذفو البرنامج استنزاف. وبظاعه رديئه.  جدا,negative
ولاحبيت ولا اي قطعه🙃,negative
الناس يلي عندهم الحرق ضعيف وزنهم فوق السبعين يرسلولي عندي الحل ان شاءالله 😍💪,positive
شاهي وحبوب 👏 يساعدعلي سد الشهيه ويرفع مستوي الحر_ق ويكسر ثبات الوز_ن,neutral
مع الاسف اذا تبي ترفع شكوى يعطيك اختيارات محدده,negative
❤️,positive
Love 😍,positive
الي تحب الزين تشوف فساتيني 💕🛍,positive
🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,neutral
من جد للحين ماجربتي بديل التكميم 💚 جربوه يابنات بطل بجد 💚💚,positive
تلبية حلوة الصراحة,positive
😍😍😍😍,positive
يا شينها ويا شبن اسلوبها دلعها سامج,negative
تعرفو رقم تواصل العملاء؟,neutral
حرااااام لبس العاري والبطن طالع,negative
نننن نننن ليش تتكلمون كدا,neutral
ليش بتحكوا بهي الطريقة🥴,negative
التعري  ليس من الدين وليس من الحياء,negative
ليش كذا ترى الانثى الراقيه مهما كان سنها او عرقها او ملتها لا تلبس العاري ولا المبتذل ابدا.... فيه لابس مشهورين به فئه من النساء كلنا نعرفهم وفيه لباس لا تظهر به النساء الا بغرف نومهم... وفيه لباس للانثى الحق الطاهره الواثقه بكرامتها  المثقفه ذات العز والانفه..... ارجوكم لا تفعلو بانفسكن ذلك,negative
😍😍,positive
مجموعة جميلة,positive
مو حلو ابدا,negative
سلام عليكم اش الحل طلبيتي معلقه في الجمارك صارلها يام,neutral
طالما اتعقدتي يبقي مش هنشتريهم علشان منتعقدش احنا كمان,negative
❤️,positive
😍❤️😍❤️,positive
Hm,neutral
😍😍,positive
ليش م بتردو خاص,negative
مش حلوين,negative
❤️❤️❤️,positive
🙌🔥🔥🔥🔥,positive
ساعدوني اربح.  fun,neutral
Wow...so cute,positive
رجعو فلوسي اللي سحبتوها من غير ما اطلب,negative
fun,neutral
😍,positive
❤️😍,positive
😍,positive
👏👏👏❤️😍,positive
🔥🔥,positive
❤️,positive
❤️❤️,positive
كيووووووووت🤩😂,positive
يجنننن,positive
So funny 😁 😍,positive
Omg!! So cuteeeee😍😍,positive
اتمنى اربح بالمسابقه دايما اشارك ,positive
قديش بدا الطلبية لتوصل اذا بدي وصي,neutral
😍,positive
صراحة شي إن حلو بس مشكلته في التوصيل جداً صار فاشل خصوصاً مدينة جده!!! او الشركة اللي متعاملين معها فاشلة ،، يومين اركض ورى المندوبين عشان يوصلونها ؟!! هذا وانا دافعه اون لاين ؟!!! واتصل على نفس الشركة مايدرون ابي اكنسل الطلبية وترجع فلوسي ماعاد ابي شي,negative
❤️😍😍🌸🌸🌸🌸,positive
❤️❤️,positive
❤️❤️,positive
❤️❤️❤️,positive
❤️,positive
❤️👏😍,positive
❤️😍😍,positive
جميلة الفساتين  رائعة,positive
😍😍😍,positive
❤️🥰,positive
😍❤️,positive
❤️❤️,positive
❤️❤️❤️,positive
😍😍😍,positive
😍😍😍😍😍😍,positive
المعالجة أم راشد  اللهم اشفي مرضانا ومرضى المسلمين  فك السحر والطلاسم,neutral
لا نستطيع اخذ من شي ان لانه لايوجد توصيل لليمن,negative
عندكم تلاعب بالاسعار وقت الدفع يتغير السعر ويرتفع اذا ماوقف التلاعب هذا بنقاطع شي ان,negative
اخر تعامل مع شي ان افضل مواقع ثانيه افضل من شي ان ع الاقل توصيلهم سريع,positive
لماذا تم الغاء خصم الدفع أون لاين والذي كانت قيمته % ؟,negative
شحنتي ماوصلت من شهر  وماحدى عميرد واخدين مصاري,negative
لو تسون ل بانقتان انتم تستطيعون,neutral
❤️❤️🔥🔥🔥,positive
خدمة العملاء وش تسوي ؟,neutral
تو سويت طلب في تطبيق شي ان واخترت الدفع عن طريق تابي ، تم خصم المبلغ من بطاقتي البنكيه لكن يظهر في تطبيق شي ان وتابي ان العمليه فشلت واني مادفعت ولا تم تاكيد الطلب,negative
ليش في تلاعب بالأسعار,negative
😍,positive
و الدفع ع طريق تابي ما متوفر لكل الدول يعني سلطنه عمان ما متوفر معها طريقه الدفع,negative
حسابك حلو بس لو تحط ارقام المنتجات بليزز,positive
شحنتي صار لها اكثر عن شهر و ما وصلتني,negative
في الموقع اليوم واخيرا كاتبين تم استعادة المبلغ لكن فعليا ماوصل ع البنك ليش كذا ؟,negative
قبل اقدر اطلب م شي ان م خلال التطبيق و السعر ارخص تو لا ليش كانت الدوله السعوديه و العمله عمانيه و اخذ بسعر ارخص تو ما يصير اسوي هذا النظام ليش,negative
❤️❤️,positive
❤️,positive
😍❤️❤️,positive
👏👏,positive
❤️❤️,positive
❤️❤️❤️❤️,positive
❤️❤️❤️,positive
❤️❤️❤️😍😍,positive
❤️❤️❤️,positive
👏👏👏👏👏,positive
❤️❤️,positive
ليش ماتردون خاص ؟,neutral
❤️❤️,positive
ليه ماتردوا   مانشوف أسماء فايزين,negative
Love how  offers endless discoveries.,positive
 .  ._majda  ,neutral
🆔  my favorite because my daughters love  this   ,positive
it looks so pretty  ID   .ali.   ,positive
it looks so pretty  ID   .ali.   ,positive
 .  ._majda  ,neutral
sh رقم المنتج       ,neutral
.  لانه يبدو جميل لشرب القهوه 👏     ,positive
جميلة ومرتبة      ,positive
sh ‎جميل احببته       ‎⁦‪‬⁩  ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,positive
جميلة ومرتبة      ,positive
.  لانه يبدو جميل لشرب القهوه 😍😍👏     ,positive
شكله جميل جدا  ID     ‏⁦‪‬⁩,positive
جميل أفرح فيه الأطفال لعيد الأضحى         💜💜🤎💜🤎💜🤎💜🤎💜🤎💜🤎🤎💜🤎💜🤎💜💜🤎💜🤎🤎💜🤎💜,positive
sh ‎جميل احببته       ‎⁦‪‬⁩  ✏️✏️✏️✏️✏️✏️✏️✏️✏️,positive
جميلة ومرتبة    .n      💙💜💙💜💙💜💙💜💙💜💙💜💜💙💜💃💜💃💜💜💜💙💜,positive
 مررره روعه يعطي اناقة للمكان    ,positive
sh جميل وانيق جداً 🫶🏻🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺      ,positive
 coz I’m on diet and I avoid oil but at the same time I love fries 😂😂😂😭😭😭😭 .sarah  ,neutral
جميلة ومرتبة    .n      ❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️💕❤️,positive
جميلة ومرتبة    .n    ,neutral
‎‏‪sh ‬ ‎‏‎‪جميل وانيق جداً 🫶🏻😍‬ ‎‏‪⁦‪‬⁩   😍😍😍  ,positive
sh جميل وانيق جداً 🫶🏻       💞💞💞💞💞💞💞💞💞💞💞💞💞,positive
sh  ‎جميل احببته 🫶🏻😍  ‎⁦‪‬⁩    ,positive
جميلة ومرتبة    .n    ,neutral
جميلة ومرتبة    .n      💚💚🩵🩵💚🩵💚🩵💚🩵💚🩵💚🩵💚💚🩵🩵💚💚🩵🩵💚🩵💚🩵💚,positive
 ID  so elegant and beautiful 😍..elgohary.  .o,positive
  لأنه يبدو جميل لشرب القهوه   .n  .m  ,positive
جميلة ومرتبة    .n      🖤🖤🖤🤎🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤🤎🖤,positive
جميلة ومرتبة    .n      🩵🩵🩵💜🩵💜🩵💜🩵💜💜🩵🩵💜🩵💜🩵💜💜🩵💜🩵💜🩵,positive
 مررره روعه يعطي اناقة للمكان    ,positive
sh جميل وانيق جداً 🫶🏻      💐💐💐💐💐💐💐💐💐💐,positive
sh جميل وانيق جداً 🫶🏻      😍😍😍😍😍😍😍,positive
. .lali. .  .  . جميل ووممتع,positive
جميلة ومرتبة    .n      🩶🩷🩶🩷🩶🩷🩶🩷🩶🩶🩷🩷🩶🩶🩷🩷🩶🩷🩶🩶🩷🩶🩷🩶🩷🩷🩶,positive
 ID  looks so beautiful 😍. .elgohary. . .o,positive
 احب امتلاك الاكواب     ‏ ✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️,positive
sh جميل وانيق جداً 🫶🏻   .u  ,positive
sh جميل وانيق جداً 🫶🏻       ,positive
sh جميل وانيق جداً 🫶🏻     ,positive
sh جميل وانيق جداً 🫶🏻     ,positive
  ‎جميله جداً 😍❤️🫶🏻 ‎⁦‪‬⁩   ,positive
‪sh‬ 📍📍📍📍 ‎‪رائع أحببته ‬ ‪⁦‪‬⁩‬     ,positive
‪sh‬ ‎‪رائع أحببته ‬ ‪⁦‪‬⁩‬     ,positive
جميلة ومرتبة    .n      💕🩶💕🩶💕🩶💕🩶💕🩶💕🩶💕🩶💕🩶💕🩶💕🩶💕🩶💕,positive
   ,neutral
‎‏‪sh ‬ ‎‏‎‪جميل وانيق جداً 🫶🏻😍‬ ‎‏‪⁦‪‬⁩     ,positive
 cute     ,positive
رائع جدا,positive
sh ‎جميل احببته       ‎⁦‪‬⁩,positive
sh جميل وانيق جداً 🫶🏻     ,positive
sh ‎جميل وانيق جداً 🫶🏻😍🌹✨     ‎⁦‪‬⁩,positive
sh جميل وانيق جداً 🫶🏻  😍😍😍😍😍😍😍   ,positive
sh جميل وانيق جداً 🫶🏻      ❤️❤️❤️❤️❤️❤️❤️,positive
sh جميل وانيق جداً 🫶🏻     ,positive
sh جميل وانيق جداً 🫶🏻      💞💞💞💞💞💞💞,positive
sh جميل وانيق جداً 🫶🏻      ❤️❤️❤️,positive
sh جميل وانيق جداً 🫶🏻     ,positive
sh جميل وانيق جداً 🫶🏻      🌸🌸🌸🌸🌸🌸🌸🌸🌸,positive
sh جميل وانيق جداً 🫶🏻       💖💖💖💖💖💖💖,positive
sh جميل وانيق جداً 🫶🏻      😍😍😍,positive
 ‎جميله جداً  ‎⁦‪‬⁩   ,positive
sh جميل وانيق جداً 🫶🏻      ,positive
sh جميل وانيق جداً 🫶🏻     ,positive
 ‎جميله جداً 😍❤️ ‎⁦‪‬⁩   ,positive
‏sh ‏‎جميل وانيق جداً 🫶🏻😍🌹✨ ‏    ‏‎⁦‪‬⁩  👚👚👚👚,positive
 ‎جميله جداً ❣️❣️❣️❣️❣️ ‎⁦‪‬⁩   ,positive
sh جميل وانيق جداً 🫶🏻   .u   💗💗💗💗💗💗💗💗💗,positive
sh جميل وانيق جداً 🫶🏻     ,positive
‪sh ‬ ‎‪جميل وانيق جداً 🫶🏻😍‬ ‪⁦‪‬⁩ ‬   ,positive
‏‪sh ‬ ‏‎‪جميل وانيق جداً 🫶🏻😍‬ 🎏 ‏‪⁦‪‬⁩ ‬ ‏  ,positive
 حبيت شكله انيق ومميز.      .er,positive
‎‏‪sh ‬ ‎‏‎‪جميل وانيق جداً 🫶🏻😍‬ ‎‏‪⁦‪‬⁩   😍😍😍  ,positive
‎‏‪sh ‬ ‎‏‎‪جميل وانيق جداً 🫶🏻😍‬ ‎‏‪⁦‪‬⁩     ,positive
sh  جميلة وأنيقة      .,positive
"،،    nicely , cute , happens,, 👍🌞    🪄💫🌞🌙✨ يجب ان نفوز لاجل العيد يكون عيدين😍",positive
"،،    nicely , cute , happens,, 👍🌞    🪄💫🌞🌙✨",positive
‎ID   ‎انها رائعتين جدا    ,positive
.   جميلة ومرتبة. . .hasan.. .ou.di,positive
  لأنه يبدو جميل لشرب القهوه   .n .m   💙💙💙💙❤️❤️,positive
‏‎ID ديكورلطيف و جميل  ‎ ‎  ,positive
  شكله لطيف وممتع في الشرب     ..sa ,positive
  لأنه يبدو جميل لشرب القهوه    .m   💙,positive
  ID    منظرها جميل,positive
ID      حبيتها كثير,positive
ID    انيقه ومرتبه,positive
ID طقم كوب قهوة شكله فني وجميل جدا  .kleb_  ,positive
ID طقم كوب قهوة شكله فني وجميل جدا   .sabawi  🧡🧡🧡🧡🧡🧡🧡,positive
ID طقم كوب قهوة شكله فني وجميل جدا  .kleb_   🌿🌿🌿💚💚🌿💚💚🌿💚💚,positive
ID طقم كوب قهوة شكله فني وجميل جدا  .kleb_  ,positive
ID طقم كوب قهوة شكله فني وجميل جدا   .kleb .sabawi ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🎁🎁🎁🎁🎁,positive
ID طقم كوب قهوة شكله فني وجميل جدا   .kleb .sabawi 👚👚❤️❤️🔥👏👕👕😍🎁,positive
ID طقم كوب قهوة شكله فني وجميل جدا   .kleb .sabawi ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,positive
🍓  ممتازة  لانها تناسب العيد 🍓   . .d ,positive
  sh جميلة وانيقه جدا 😍❤️.   ,positive
  sh جميلة وانيقه جدا 😍❤️.  .d ,positive
🍓  ممتازة  لانها تناسب العيد 🍓    .hassan .abdullah     يارب ارزقنا ياكريم 🙌❤️🎁,positive
🍓  ممتازة  لانها تناسب العيد 🍓      👕👕👕👕👕👕👕👕👕👕,positive
 ‎قطعه جميله❤       .m,positive
 .m  ‎ ‎فستان رائع ولطيف ,positive
 .m  ‎ ‎فستان رائع ولطيف ,positive
 ‎قطعه جميله❤       .m,positive
   ‎فستان انيق  .m    ❤❤❤❤❤❤ 🩷🩷🩷🩷🩷🩷,positive
 ‎قطعه جميله❤   .iio    ,positive
 ‎قطعه جميله❤   .iio    ,positive
   ‎قلادة جميله ورائعه       ❤❤❤❤ 💕💕💕💕🩵,positive
 جميل جدا        ,positive
   فستان انيق   .m ,positive
   ‎فستان انيق    ,positive
😍😍,positive
كم سعرها؟,neutral
😍,positive
😍,positive
جميلة 👏👏👏,positive
😍😍,positive
بكام,neutral
🔥🔥🔥🔥🔥,positive
جميل,positive
….,neutral
Hello,neutral
تعبت من السمنة ?صار وقت تتخلص منها بأسهل طريقة 😍!,positive
مين يعرف هل فيه توصيل لاايران من شي ان او لا,neutral
I,neutral
😍,positive
لماذا لا يوجد توصيل للجزائر الأمر خانق حقا,negative
😍,positive
❤️,positive
🔥انزلكيلوبعشرين يوم بشاهي بديل التكميم,neutral
بكام,neutral
هل هناك شحن الي ليبيا؟؟,neutral
اخواني احنا اليتيمات لا نجد شي هنيئاً الى عنده ملابس واحنا اليتيمات لا نجد شي سالتك بالله يامن تقرا تساعدنا ولو بشي بسيط قال رسول الله صلى الله عليه وسلم «لأن يتصدق المرء في حياته بدرهم خير له من أن يتصدق بمائة عند موته» . والله العظيم ما كتبت هذا المناشده غير من الضيق لا يوجد معانا ملابس يا عالم حسوا فينا ارجوكم والله العظيم رب العرش العظيم انه الاكل ما في عندي بالبيت يعلم الله اني اكلمكم وعيوني تدمع من الخجل لاكن الضروف اجبرتني هل باقي في قلبك رحمه هل باقي غيره هل باقي شفقه اسالك بجبار السماوات ولارض انك لا تردني خائبه اني في وجهك يا اخي نحن نموت من الجوع داخل البيت نحن اسره ایتام نازحين من بيوتنا بسبب الحرب اني وامي واخوني صغار ونازحين اني اتوسل اليك اني اتوسل اليك انك تساعدنا بقيمة كيس دقيق اني والله يا اخي لا اريد اهين كرامتي واذل نفسي عند احد واطلب المساعده ولكن اجبرتني الضروف القاسيه فيا اخي اني داخله على الله ثم عليك هاذا رقمي  اعتبرني اختك وشرفك راسلني على الواتساب اعطيك الاسم. ياخي اني طلبتك واني متامله من الله ثم منك ماتردني خائبه..........😢.....,negative
❤️❤️❤️,positive
ناعم,positive
رائع ❤️❤️❤️,positive
المعالجة أم راشد  اللهم اشفي مرضانا ومرضى المسلمين  فك السحر والطلاسم,neutral
عظموا شعائر الله .. لاتحطوا تماثيل بالأعياد وغير الأعياد,neutral
The Cart Too???,neutral
متي العيد ؟,neutral
❤️❤️❤️,positive
😍,positive
😍😍,positive
❤❤️,positive
Its free delivery in Temu,neutral
هههههه كيووووت❤️❤️❤️,positive
الطاولة؟ من فين,neutral
سلام عليكم طلبيتي معلقه في جمارك اش الحل,neutral
لعربه كم رقمها,neutral
مافي ارقام ؟!!,neutral
😍😍😍,positive
شاهي وحبوب 👏 يساعدعلي سد الشهيه ويرفع مستوي الحر_ق ويكسر ثبات الوز_ن,neutral
❤️❤️❤️,positive
❤️❤️❤️,positive
❤️❤️❤️😍😍😍😍,positive
❤️❤️,positive
ردوا خاص,neutral
Wow,positive
😍😍,positive
من المؤالم جدا أنك تبحث عن الإنسانية في زمن ضاعت فيه الإنسانية والحميه والضمير ضاعت فيه الرحمه اخي باقي رحمه وشفقه اختك في حال ميعلم به الا الله وًّالَلَهَ الَعَظَيَمَ مَا كتَبَتَ هَذا الَمَنَاشَدَهَ غَيَرَ مَنَ الَضَيَقَ وّالَفَقَر يَاعَالَمَ حَسَوّا فَيَنَا ارَجَوّكمَ وّالَلَهَ الَعَظَيَمَ رَبَ الَعَرَشَ الَعَظَيَمَ انَه الَاكلَ مَا فَيَ عَنَدَيَ بَالَبَيَتَ وًّالَلَهَ يَا اخَوّانَيَ انَهَ اخَوًّنَيَ بَقَعَدَوًّ بَالَيَوًّمَيَنَ مَافَى اكلَ وًّالَلَهَ وًّضَعَنَا كثَيَرَ صَعَبَ نَحَنَ  نَفَرَ دَاخَلَ الَبَيَتَ وًّابَيَ مَتَوًّفَيَ وًّلَا يَوًّجَدَ مَنَ يَعَوًّلَ عَلَيَنَا وًّسَاكنَيَنَ فَيَ بَيَتَ اجَارَ لَانَسَتَطَيَعَ دَفَعَ الَاجَارَ الَلَيَ بَاقَيَ عَلَيَنَا انَيَ دخلة على الله ثمَّ عليكِ اني في وجه الله ثم في وجهك اني اترجاك اتوسل اليك تساعدني لوجه الله. الله يَأْخي منَ الصَبَاحُ حُتا الان يَحُرّم علينا الاكل غير الماء اني اقسم بالله العلي العظيم على كتاب الله اني بنت يتيمه من ومعي اخوان صغار اقسم بالله على كتاب الله ان اخوتي ماعاد يقدرو ينطقو بكلمة من شدت الجوع وبيتنا ايجار وصاحب البيت مقدر ضروفنا يريد الإجار او بيخرجنا إلى الشارع و اني اسالك بالله وانشدك بمحمد رسول الله يا اخي لوانت مسلم وتحب الخير انك تساعدني بقدر استطاعتك وايعوضك الله بكل خير فيااخي انت رجال إذا شفت اسرتك جاوعين تعمل المستحيل من اجل تامن لهم الاكل ولكن انابنت عيني بصيره ويدي قصيره ليس لي اب مثلك يسمح دمعتى ويحمينى من الذل والاهانة .🥺واخواني سغار ساعدنا انقذنا قبل أن يطردونا في الشارع نتبهدل او نموت من الجوع انا اقسم بالله الذي رفع سبع سموات بلا عمد وبسط الارض ومهداني لااكذب عليك بحرف من هذا الرساله واني ماطلبتك إلى من ضيق وقسوت الضروف والحال الذي احنافيه واني وأسرتي نسالك بالله لولك مقدره الامساعدتناانك ترسلي واتساب هذا رقمي  وتطلب اسمي الكامل في البطاقه وتحولنا عليه ولتاخر علينا احنا في اشد الحاجة والضروف القاسيه جزاك الله خير الجزاإأا🎉ا😢اا❤اا😢ا🎉اا❤ا😢ا😢لاا😢اا🎉ا🎉😢😢,neutral
🤩🐏🐑,positive
أخذ الأستخارة مجاناً 🙏🏻🤍,positive
🙌,positive
😍❤️  ,positive
Hi. My. Family. How. Are. You. Just. Time. I. Hope. Fulli. Fine. You. I. Am. Her. Fine. Sweet. Lovey. ou. An. Good. Night. Take. Care.. See. You. Tomorrow. .am.okay.my.cute.good.by,neutral
احلى من يكون ودل ❤️❤️❤️,positive
❤️❤️❤️,positive
ليش الأسعار تختلف لما أشوفها في السله و لما اجي ادفع تكون زياده؟,negative
اما عاد خلاص لازم اطلب👍🏻👍🏻,positive
😍,positive
دودوهي❤️,positive
🤍🤍🤍🤍🩷🩷🩷🩷,positive
🤍🤍🤍🤍🤍🤍🤍🤍,positive
😍😍😍😍,positive
 my demon 😂😍,positive
❤️,positive
كيف بدي اتواصل معكم ضروري ببعت و ما حد برد,negative
